category,file,status,error,mean_similarity,min_similarity,max_similarity,std_similarity,ref_to_hyp_mean,hyp_to_ref_mean,num_chunks_ref,num_chunks_hyp
1.original,108_2025_QH15_675268.txt,ok,,0.837523,0.657640,0.904294,0.027339,0.879041,0.876290,165,165
1.original,109_2025_QH15_665870.txt,ok,,0.836482,0.686317,0.901968,0.028279,0.873943,0.874704,33,33
1.original,10_2022_QH15_546085.txt,ok,,0.840819,0.639218,0.918036,0.029232,0.887702,0.878781,147,145
1.original,10_2026_NQ-HDND_707046.txt,ok,,0.839187,0.709339,0.970281,0.053218,0.907112,0.907899,7,7
1.original,10_2026_NQ-HDND_707105.txt,ok,,0.826154,0.721059,0.896718,0.056643,0.892473,0.891917,4,4
1.original,110_2025_QH15_581160.txt,ok,,0.839159,0.681343,0.908210,0.029824,0.880780,0.875555,51,51
1.original,111_2025_QH15_667663.txt,ok,,0.820715,0.737378,0.893683,0.026398,0.863427,0.857621,43,43
1.original,112_2025_QH15_586814.txt,ok,,0.838248,0.519461,0.927893,0.035657,0.884828,0.880398,122,122
1.original,113_2025_QH15_443680.txt,ok,,0.816152,0.456647,0.923566,0.074360,0.882198,0.878747,33,33
1.original,114_2025_QH15_658530.txt,ok,,0.820206,0.512568,0.901605,0.046021,0.867375,0.868879,62,61
1.original,115_2025_QH15_675264.txt,ok,,0.833492,0.694235,0.903102,0.036176,0.877976,0.876752,27,27
1.original,116_2025_QH15_666020.txt,ok,,0.832490,0.551386,0.915319,0.050745,0.891690,0.879608,96,96
1.original,117_2025_QH15_685866.txt,ok,,0.841419,0.750172,0.912272,0.023031,0.878865,0.877644,52,52
1.original,118_2025_QH15_682798.txt,ok,,0.813325,0.565945,0.903850,0.043669,0.868585,0.872047,76,75
1.original,119_2025_QH15_685933.txt,ok,,0.847644,0.684627,0.914119,0.051215,0.891083,0.886673,17,17
1.original,11_2022_QH15_544688.txt,ok,,0.852594,0.723749,0.908709,0.021816,0.889083,0.884370,134,134
1.original,11_2026_NQ-HDND_707106.txt,ok,,0.795917,0.655374,0.937655,0.085023,0.901825,0.906812,7,7
1.original,11_2026_NQ-HDND_707159.txt,ok,,0.844071,0.614801,0.912543,0.038519,0.889604,0.887452,28,28
1.original,11_2026_NQ-HDND_709745.txt,ok,,0.793116,0.595350,0.935037,0.080032,0.882502,0.884591,8,8
1.original,120_2025_QH15_666019.txt,ok,,0.831797,0.499240,0.907803,0.041574,0.874639,0.873945,88,87
1.original,121_2025_QH15_689140.txt,ok,,0.839648,0.684474,0.908119,0.025565,0.877209,0.872104,83,83
1.original,122_2025_QH15_662035.txt,ok,,0.837682,0.739522,0.900647,0.022947,0.875736,0.865927,64,64
1.original,123_2025_QH15_656970.txt,ok,,0.830374,0.603462,0.898381,0.039851,0.873125,0.872584,42,42
1.original,124_2025_QH15_687560.txt,ok,,0.848961,0.660309,0.913440,0.027018,0.889206,0.880410,62,62
1.original,125_2025_QH15_663779.txt,ok,,0.848348,0.730135,0.906638,0.022406,0.883768,0.876963,66,66
1.original,126_2025_QH15_581548.txt,ok,,0.855332,0.748642,0.936886,0.023906,0.894153,0.894441,64,64
1.original,127_2025_QH15_686325.txt,ok,,0.847593,0.686337,0.925948,0.028181,0.895500,0.890017,362,362
1.original,128_2025_QH15_679014.txt,ok,,0.807010,0.604332,0.897583,0.031518,0.859823,0.852456,110,110
1.original,129_2025_QH15_675261.txt,ok,,0.830538,0.478466,0.897923,0.051380,0.867751,0.871088,46,45
1.original,12_2022_QH15_505749.txt,ok,,0.846121,0.702338,0.914909,0.023411,0.885557,0.881627,111,111
1.original,12_2026_NQ-HDND_707158.txt,ok,,0.838692,0.760081,0.945875,0.048161,0.897768,0.902251,4,4
1.original,12_2026_NQ-HDND_709406.txt,ok,,0.790660,0.468408,0.907703,0.120502,0.872029,0.863436,11,11
1.original,12_2026_NQ-HDND_709746.txt,ok,,0.828328,0.694926,0.933436,0.039595,0.880307,0.877284,17,17
1.original,12_NQ-HDND_707831.txt,ok,,0.833162,0.619162,0.915717,0.048127,0.884625,0.887152,26,25
1.original,12_NQ-HDND_708054.txt,ok,,0.841201,0.406917,0.924315,0.051030,0.889417,0.888462,97,96
1.original,130_2025_QH15_687674.txt,ok,,0.837270,0.547416,0.952141,0.037638,0.891029,0.884706,140,140
1.original,131_2025_QH15_675267.txt,ok,,0.823683,0.276759,0.901211,0.074164,0.864880,0.871077,61,60
1.original,132_2025_QH15_685733.txt,ok,,0.836275,0.678965,0.907919,0.039159,0.874939,0.878198,18,18
1.original,133_2025_QH15_675211.txt,ok,,0.848592,0.649860,0.908240,0.030181,0.887020,0.884232,72,72
1.original,134_2025_QH15_679013.txt,ok,,0.844559,0.713668,0.902349,0.025161,0.878107,0.874675,55,55
1.original,135_2025_QH15_675213.txt,ok,,0.847947,0.539416,0.926161,0.033088,0.897165,0.887175,149,149
1.original,135_NQ-CP_706738.txt,ok,,0.840791,0.676928,0.917968,0.042312,0.890531,0.887844,12,12
1.original,136_2025_QH15__686937.txt,ok,,0.810358,0.633123,0.914367,0.048455,0.870109,0.862169,27,27
1.original,137_2025_QH15_686549.txt,ok,,0.825419,0.731219,0.878487,0.028629,0.852662,0.860574,23,23
1.original,138_2025_QH15_686527.txt,ok,,0.821609,0.545725,0.926648,0.078273,0.879046,0.876537,20,20
1.original,139_2025_QH15_684512.txt,ok,,0.812468,0.590827,0.893877,0.061680,0.861544,0.863646,19,19
1.original,13_2022_QH15_490095.txt,ok,,0.837489,0.532680,0.896254,0.040331,0.873457,0.875074,63,62
1.original,13_2026_NQ-HDND_707807.txt,ok,,0.807484,0.658941,0.938957,0.082446,0.904818,0.897580,5,5
1.original,13_2026_NQ-HDND_709407.txt,ok,,0.831388,0.721756,0.945138,0.044949,0.890229,0.886241,7,7
1.original,13_2026_NQ-HDND_709751.txt,ok,,0.823868,0.677734,0.936115,0.036897,0.877512,0.876672,26,26
1.original,140_2025_QH15_675263.txt,ok,,0.808884,0.615855,0.891428,0.059440,0.862517,0.860498,13,13
1.original,140_NQ-CP_707328.txt,ok,,0.824663,0.659639,0.914745,0.058453,0.889043,0.889662,7,7
1.original,141_2025_QH15_686550.txt,ok,,0.847211,0.708047,0.906281,0.032250,0.882812,0.885452,25,25
1.original,141_NQ-CP_708014.txt,ok,,0.804667,0.707098,0.915402,0.051629,0.879786,0.879786,5,5
1.original,142_2025_QH15_675210.txt,ok,,0.841413,0.615999,0.909352,0.025001,0.882427,0.877248,153,153
1.original,143_2025_QH15_681550.txt,ok,,0.793510,0.471671,0.993055,0.074121,0.888062,0.885132,136,135
1.original,143_NQ-CP_709397.txt,ok,,0.847631,0.779493,0.951705,0.052646,0.912009,0.912009,3,3
1.original,144_2025_QH15_675260.txt,ok,,0.839315,0.603672,0.907019,0.044100,0.886671,0.884395,41,41
1.original,145_2025_QH15_684669.txt,ok,,0.843017,0.750770,0.899142,0.020478,0.875098,0.872249,39,39
1.original,146_2025_QH15_675259.txt,ok,,0.809452,0.442780,0.914584,0.065236,0.875318,0.881816,211,210
1.original,147_2025_QH15_675265.txt,ok,,0.829219,0.495450,0.902869,0.056013,0.876111,0.876155,44,44
1.original,148_2025_QH15_m_675262.txt,ok,,0.841473,0.758673,0.903681,0.020600,0.874467,0.872920,63,63
1.original,148_NQ-CP_710006.txt,ok,,0.838124,0.545055,0.992269,0.050363,0.893252,0.890820,126,126
