filename,attack_group,layoutlmv3_cosine_similarity
141_2025_QH15_686550.npy,2.insert,0.997778
141_NQ-CP_708014.npy,2.insert,0.981137
142_2025_QH15_675210.npy,2.insert,0.999895
143_2025_QH15_681550.npy,2.insert,0.999903
143_NQ-CP_709397.npy,2.insert,0.976158
144_2025_QH15_675260.npy,2.insert,0.998860
145_2025_QH15_684669.npy,2.insert,0.997836
146_2025_QH15_675259.npy,2.insert,0.999886
147_2025_QH15_675265.npy,2.insert,0.999536
148_2025_QH15_m_675262.npy,2.insert,0.999584
148_NQ-CP_710006.npy,2.insert,0.999856
149_2025_QH15_679698.npy,2.insert,0.962842
14_2022_QH15_519327.npy,2.insert,0.999817
14_2026_NQ-HDND_707808.npy,2.insert,0.998579
14_2026_NQ-HDND_709408.npy,2.insert,0.993095
14_2026_NQ-HDND_710206.npy,2.insert,0.999089
14_NQ-HDND_707830.npy,2.insert,0.987753
150_2025_QH15_685773.npy,2.insert,0.999266
15_2023_QH15_372143.npy,2.insert,0.999817
15_2026_NQ-HDND_707809.npy,2.insert,0.993465
15_2026_NQ-HDND_707811.npy,2.insert,0.957753
15_2026_NQ-HDND_709741.npy,2.insert,0.999869
15_NQ-HDND_707829.npy,2.insert,0.998942
16_2023_QH15_519324.npy,2.insert,0.999697
16_2026_NQ-HDND_707769.npy,2.insert,0.997382
16_2026_NQ-HDND_707810.npy,2.insert,0.985694
17_2023_QH15_499239.npy,2.insert,0.999934
17_2026_NQ-HDND_709410.npy,2.insert,0.996591
18_2023_QH15_519325.npy,2.insert,0.999388
18_2026_NQ-HDND_709411.npy,2.insert,0.991497
18_NQ-HDND_707827.npy,2.insert,0.995184
19_2023_QH15_m_500102.npy,2.insert,0.999828
19_2026_NQ-HDND_709412.npy,2.insert,0.999501
20_2023_QH15_m_513347.npy,2.insert,0.999784
20_2026_NQ-HDND_709415.npy,2.insert,0.993529
20_2026_NQ-HDND_709736.npy,2.insert,0.999365
20_NQ-HDND_707825.npy,2.insert,0.997607
21_2026_NQ-HDND_709413.npy,2.insert,0.992594
21_2026_NQ-HDND_709737.npy,2.insert,0.999678
21_NQ-HDND_707824.npy,2.insert,0.985802
22_2026_NQ-HDND_709414.npy,2.insert,0.997874
22_2026_NQ-HDND_709738.npy,2.insert,0.999697
23_2023_QH15_m_563579.npy,2.insert,0.995107
23_2026_NQ-HDND_709416.npy,2.insert,0.996828
23_2026_NQ-HDND_709739.npy,2.insert,0.992676
